,document_id,question,answer,difficulty
5514,/chinese_dynasties/Shang_dynasty.txt,What's the other name of the Shang dynasty?,Yin dynasty,E
926,/languages/Mandarin_language.txt,Who started language policy?,Chinese Communist Party,M
3286,/chinese_dynasties/Liang_dynasty.txt,Who ordered the killing of Xio Dong?,Xiao Yi,H
2182,/languages/Urdu_language.txt,What are some earlier names of the language Urdu?,"Hindvi, Hindi and Hindustani",H
2640,/chinese_dynasties/Xia_dynasty.txt,What classic text by Sima Qian described the Xia dynasty?,the Records of the Grand Historian,H
4747,/constellations/leo_constellation.txt,How many stars is the sickle marked by?,Six,E
5681,/indian_states/Uttar_Pradesh.txt,Is Uttar Pradesh divided into 3 districts?,No.,M
5974,/languages/German_language.txt,In which region have the traditional regional dialects been replaced by new vernaculars based on Standard High German?,Northern Germany,H
4435,/constellations/gemini_constellation.txt,Do the stars Castor and Pollux appear far apart?,No,M
162,/constellations/virgo_constellation.txt,Is Virgo the largest zodiac constellation in the sky?,Yes,E
3174,/constellations/aquarius_constellation.txt,How far from Earth is the star that the planet HD 212771 b orbits?,131 parsecs,H
2190,/languages/Urdu_language.txt,Who first introduced the name Urdu?,The poet Ghulam Hamadani Mushafi,E
4497,/languages/French_language.txt,Is Spanish a procedural language of the EU?,No,H
5519,/chinese_dynasties/Shang_dynasty.txt,Who defeated the Shang?,Zhou,H
5923,/pokemon_characters/venusaur_pokemon.txt,What type of animals is venusaur's design based on?,Frog,E
2229,/languages/German_language.txt,How many grammatical genders does German have? ,three,E
6719,/constellations/aries_constellation.txt,What was Aries originally defined in ancient texts as?,A specific pattern of stars,E
4393,/chinese_dynasties/Han_dynasty.txt,Did Medical physicians have high status in the Han dynasty?,Yes,H
2710,/chinese_dynasties/Northern_Wei.txt,Was catholic a factors in the growing Chinese influence in the Northern Wei state?,No,M
6505,/indian_states/Punjab.txt,Is Panjab known as place where growing crops is difficult?,No,M
1447,/indian_states/Gujarat.txt,Is London a major city in Gujarat ?,no,M
5421,/constellations/aries_constellation.txt,What is Latin for ram?,Aries,E
6124,/constellations/virgo_constellation.txt,Can Virgo be seen at the equator?,Yes.,M
4223,/chinese_dynasties/Han_dynasty.txt,How many Han mathematical treatises still exist? ,Three,E
937,/languages/Bengali_language.txt,Is Jharkhand a neighbouring state of Bengal?,Yes,H
5520,/chinese_dynasties/Shang_dynasty.txt,Did Shang have ritual and political complex?,Yes,H
6423,/indian_states/Gujarat.txt,Who ruled Gujarat in the 8th and 9th centuries CE?,the Gurjara-Pratihara dynasty.,M
5501,/chinese_dynasties/Han_dynasty.txt,What interrupted the Han dynasty briefly?,Xin dynasty,E
6241,/indian_states/Gujarat.txt,Is over half of Gujarat's geographical area used for agriculture?,Yes,M
5640,/constellations/virgo_constellation.txt,Does M84 have most likely have a black hole orbiting the core?,Yes.,H
1133,/pokemon_characters/snorlax_pokemon.txt,Is Charizard known as the Flame Pokémon?,Yes,M
4780,/pokemon_characters/bulbasaur_pokemon.txt,What type is Bulbasaur?,Grass/Poison,E
694,/chinese_dynasties/Xia_dynasty.txt,Were Gun's attempt to stop flooding successful?,No,M
4963,/indian_states/Kerala.txt,Is the official language used the most widely in Kerala?,Yes.,M
2633,/chinese_dynasties/Jin_dynasty_(266–420).txt,Who founded the Jin Dynasty?,Sima Yan,H
3307,/chinese_dynasties/Sui_dynasty.txt,What does the Chinese character Sui mean?,To follow,E
6358,/indian_states/Tamil_Nadu.txt,What is the third most populous city in Tamil Nadu?,Madurai,H
3984,/languages/Urdu_language.txt,Which religion is associated with Urdu in India?,Islam ,H
1354,/languages/Arabic_language.txt,Is Classical Arabic considered Standard Arabic?,Yes,M
585,/constellations/pisces_constellation.txt,Who are the counterparts of Aphrodite and Eros in the Roman variant of the story?,Venus and Cupid,H
2726,/languages/Hindi_language.txt,Was the basic grammar of Hindi published after India's independence?,Yes,M
6688,/indian_states/Kerala.txt,What state was formed on 1 November 1956 on the Malabar Coast of India?,Kerala,H
2714,/chinese_dynasties/Northern_Wei.txt,Was Buddhist art destroyed in the mid-6th century CE?,No,H
4569,/indian_states/West_Bengal.txt,"Is Siliguri located in the ""Chicken's Neck"" of India?",Yes,M
2060,/languages/Indonesian_language.txt,When did the Dutch East India Company first arrived in the archipelago?,at the start of the 1600s,E
1532,/chinese_dynasties/Northern_Wei.txt,Did Kou Qianzhi oppose Buddhism?,Yes.,M
2324,/pokemon_characters/jigglypuff_pokemon.txt,Who is very well known for singing a lullaby in the Pokémon anime series?,Jigglypuff,E
785,/indian_states/West_Bengal.txt,"As of 2011, what percentage of West Bengal's religious population are not Muslim?",72.99,H
4240,/chinese_dynasties/Han_dynasty.txt,Did slaves belong to one of twenty ranks?,No,M
1663,/pokemon_characters/squirtle_pokemon.txt,Which two words were combined to compose Squirtle's name?,squirt and turtle,M
5279,/languages/Portuguese_language.txt,Did King Afonso I of Portugal create the first Portuguese university in Lisbon?,No,M
5250,/constellations/sagittarius_constellation.txt,What is the diameter of the Trifid Nebula?,approximately 50 light-years,H
1273,/constellations/pisces_constellation.txt,How far away is NGC 520?,90 million light years,E
6793,/constellations/aries_constellation.txt,Is Aries highly visible from the earth?,No,H
304,/pokemon_characters/bulbasaur_pokemon.txt,In which evolution of Bulbasaur does the bulb on its back blossoms into a large flower?,Venusaur,M
6706,/indian_states/Rajasthan.txt,When did Prithviraj Chauhan defeat the invading Muhammad Ghori in the First Battle of Tarain?,1191,E
2217,/languages/Portuguese_language.txt,What is a Portuguese-speaking person or nation referred to as? ,Lusophone,E
5071,/constellations/aries_constellation.txt,When is there a tradition that marks the Pleiades as the vernal equinox?,At the beginning of the Middle Bronze Age.,M
3763,/constellations/aquarius_constellation.txt,How many exoplanet systems have been found in Aquarius as for 2013?,12,E
1394,/indian_states/Andhra_Pradesh.txt,Which of the two official languages of Andhra Pradesh is a Classical Language?,Telegu,H
3144,/pokemon_characters/magikarp_pokemon.txt,Has Magikarp featured in its own mini-game?,Yes,E
5808,/constellations/gemini_constellation.txt,Is Gem (Mekbuda) a double star?,Yes,E
1538,/pokemon_characters/snorlax_pokemon.txt,Is Snorlax a legendary?,No.,M
3520,/pokemon_characters/squirtle_pokemon.txt,Who voices Squirtle in the anime?,Rikako Aikawa,E
4249,/chinese_dynasties/Han_dynasty.txt,Was the landowner’s land tax paid in coin cash ,No,M
5997,/languages/Mandarin_language.txt,Which is a distinctive feature of southwestern Mandarin that is hardly used in Beijing?,noun reduplication,H
6613,/languages/Bengali_language.txt,What percent of Bangladeshis use Bengali as their first language?,98,E
3099,/constellations/scorpius_constellation.txt,Is Libra part of Scorpio in current times?,No,H
644,/pokemon_characters/eevee_pokemon.txt,How many older brothers did Mikey have in the episode 'The Battling Eevee Brothers'?,three,M
6108,/languages/Indonesian_language.txt,What languages loan words to Indonesian?,"Portuguese, Dutch, English, Arabic, Javanese, Sanskrit, Persian and Herbew.",H
5122,/languages/Mandarin_language.txt,What principles did early classifications tend to follow?,Provincial boundaries or major geographical features,E
1971,/indian_states/Karnataka.txt,How many information technology (IT) firms were operating in Karnataka in 2008?,2000,H
4395,/chinese_dynasties/Sui_dynasty.txt,Who restored Confucian education and the Confucian examination system for bureaucrats in the Sui dynasty?,Emperor Yang of Sui,M
5182,/languages/English_language.txt,Is invasion one of the reasons why English shows similarities with languages outside its linguistic clades?,Yes,H
5189,/languages/English_language.txt,Do British English and American English draw influence from each other?,Yes,H
2443,/languages/Bengali_language.txt,How was Bengali known in the 21st century?,Bangla-bhasa,M
3760,/constellations/aquarius_constellation.txt,Who is Deucalion in Greek mythology?,The son of Prometheus.,M
415,/chinese_dynasties/Shang_dynasty.txt,What year was the Yanshi Shang City discovered?,1983,E
6644,/languages/French_language.txt,Does French spelling tend to preserve obsolete pronunciation rules due to extreme phonetic changes since the Old French period?,Yes,H
4203,/chinese_dynasties/Xia_dynasty.txt,Which dynasty is the first dynasty in traditional Chinese historiography?,The Xia dynasty,E
1404,/indian_states/West_Bengal.txt,Is Kolkata the seventh largest city by population in India ?,yes,E
681,/chinese_dynasties/Sui_dynasty.txt,Who was the founder of the Sui dynasty?,Emperor Wen of Sui,E
6745,/indian_states/West_Bengal.txt,Is Kolkata the largest metropolis in India?,No,M
6950,/indian_states/Meghalaya.txt,Does Meghalaya have five representatives in the Lok Sabha?,No,M
3379,/chinese_dynasties/Han_dynasty.txt,Did the Xiongnu border the southern edge of Han territory?,No,M
710,/pokemon_characters/psyduck_pokemon.txt,Where did Psyduck make its debut appearance in the Pokémon series?,Pokémon Red and Blue,E
4639,/pokemon_characters/magikarp_pokemon.txt,Is Pokémon: Magikarp Jump a mobile video game?,Yes,M
5781,/indian_states/Rajasthan.txt,Which pakistan provinces do Rajasthan share a border with?,Punjab and Sindh ,H
41,/chinese_dynasties/Shang_dynasty.txt,What is the evidence that there were ties between the distant areas of North China?,The discovery of a Chenddu style ge dagger aze at Xiaohenan,M
6107,/languages/Indonesian_language.txt,Is Indonesian word order closer to European languages or Asian languages?,European languages.,H
361,/chinese_dynasties/Jin_dynasty_(266–420).txt,In which year did Sima Yan declared himself emperor of the Jin dynasty?,266,E
5455,/languages/Mandarin_language.txt,Does Shanghainese have more polysyllabic words than Mandarin?,Yes,H
123,/pokemon_characters/eevee_pokemon.txt,What were the illustriations of Eevee inspired by?,Fujiwara and Nashida's sprites,M
5621,/constellations/virgo_constellation.txt,What is the brightest star in the Virgo constellation?,Spica.,E
6030,/indian_states/Rajasthan.txt,Does all of Rajasthan lie northwest of the Aravallis?,No,M
6712,/constellations/leo_constellation.txt,Is the carbon star CW Leo (IRC +10216) is the brightest star in the night sky at the infrared N-band (10 μm wavelength)?,Yes,E
3789,/indian_states/Gujarat.txt,Is Gujarat one of four Indian states to prohibit the sale of alcohol?,Yes.,E
4502,/pokemon_characters/magikarp_pokemon.txt,Who was Magikarp created by?,Ken Sugimori,E
6250,/pokemon_characters/pikachu_pokemon.txt,What does Pikachurin do?,Provide better visual acuity,M
305,/pokemon_characters/bulbasaur_pokemon.txt,"Is there another starter in Red, Blue, and Green that has a dual typing?",No,M
5992,/languages/Mandarin_language.txt,Do Chinese overseas communities tend to use traditional Chinese characters more?,Yes,M
4988,/chinese_dynasties/Han_dynasty.txt,Who helped to begin the Silk Road trade network?,The diplomat Zhang Qian.,H
7079,/chinese_dynasties/Sui_dynasty.txt,Did the Han dynasty establish granaries?,Yes,H
2817,/chinese_dynasties/Shang_dynasty.txt,Who was the twenty-first Shang king?,Wu Ding,E
1642,/pokemon_characters/charizard_pokemon.txt,Is every evolution of Charizard ground-bound?,no,M
3200,/indian_states/Andhra_Pradesh.txt,What is the state capital of Andhra Pradesh?,Amaravati,E
2231,/languages/Indonesian_language.txt,Did only nationalistic concerns lead to the successful adoption of Indonesian as a national language? ,No,M
5030,/chinese_dynasties/Xin_dynasty.txt,What were Chinese dynasties typically named after?,The fief of their founders.,E
6708,/constellations/leo_constellation.txt,Is Leo one of the constellations of the zodiac?,Yes,E
6501,/indian_states/Punjab.txt,What are the five famous rivers of Panjab?,"Jhelum, Chenab, Ravi, Sutlej, and Beas",E
6434,/constellations/aquarius_constellation.txt,How many stars are a part of Aquarius’ jar?,Four.,H
1118,/languages/Arabic_language.txt,How many states have Arabic as an official language?,26,E
1224,/pokemon_characters/charmander_pokemon.txt,What were Pokémon Red and Blue known as in Japan?,Pocket Monsters games Red and Green,M
76,/languages/Spanish_language.txt,Where did modern Spanish come from?,"neighboring Romance languages, Arabic, and Latin",H
3102,/chinese_dynasties/Jin_dynasty_(266–420).txt,Is the Jin dynasty well known for the quality of its greenish celadon porcelain wares?,Yes,E
6253,/languages/Portuguese_language.txt,Were Roman cities built far from previous Celtic settlements?,No,M
2074,/languages/Indonesian_language.txt,Is the formal education conducted by Sundane?,No,H
4425,/languages/French_language.txt,Is French an official language of the Pacific Island nation of Vanuatu?,Yes,E
6788,/constellations/leo_constellation.txt,Is gold one of the major elements found in the orbit of the two galaxies found within Leo?,No,H
5769,/languages/French_language.txt,"In 2011, Bloomberg Businessweek ranked French the sedoncd most useful language for business",No,M
1735,/chinese_dynasties/Shang_dynasty.txt,"According to the traditional chronology based on calculations made approximately 2,000 years ago by Liu Xin, what time period did the Shang dynasty rule from?",1766 to 1122 BC,M
4788,/constellations/libra_constellation.txt,In what direction does Virgo border Libra?,Northwest,E
6747,/indian_states/West_Bengal.txt,Is the original of the name Bengal well known?,No,M
922,/languages/Mandarin_language.txt,What is the official language of the People's Republic of China and Taiwan,Standard Mandarin Chinese,E
6690,/indian_states/Kerala.txt,What state has been at the forefront of LGBT issues in India and one of the first states in India to form a welfare policy for the transgender community?,Kerala,H
5040,/chinese_dynasties/Xin_dynasty.txt,What government system was based on in Wang Mang's reforms?,The ancient Western Zhou's.,H
5053,/constellations/gemini_constellation.txt,In which months is Gemini visible the entire night?,December–January.,E
1997,/constellations/libra_constellation.txt,What is Libra’s name latin for? ,Weighing scales,H
2448,/languages/Bengali_language.txt,In the modern period how many forms of written Bengali were there?,Two,H
3243,/chinese_dynasties/Tang_dynasty.txt,What was the purpose of the state-run schools established by the Tang government?,to promote widespread Confucian education,M
3601,/pokemon_characters/psyduck_pokemon.txt,Does Psyduck live in freshwater lakes?,Yes,E
4540,/pokemon_characters/magikarp_pokemon.txt,What is the color of the long barbels on female Magikarp?,white,M
3861,/constellations/virgo_constellation.txt,What is the the largest zodiac constellation?,Virgo,M
2219,/languages/Portuguese_language.txt, What branch of Romance Languages does Portuguese belong tp? ,West Iberian ,E
27,/indian_states/Punjab.txt,Who overthrew the Hindu Shahis?,the Turkic Ghaznavids,E
6955,/indian_states/Meghalaya.txt,Was Eastern West Khasi Hills created in 2001?,No,M
5306,/languages/German_language.txt,How many genders in the German language?,Three,E
7093,/pokemon_characters/psyduck_pokemon.txt,Does Red have a Bulbasaur?,Yes,M
3154,/pokemon_characters/magikarp_pokemon.txt,What color are the barbels on female Magikarp?,white,H
6839,/indian_states/Karnataka.txt,What does the ziladar do?,Governs each district (zila),M
5417,/constellations/aquarius_constellation.txt,What will not dawn until the year 2597?,the Age of Aquarius,E
4711,/languages/French_language.txt,Is English one of the official languages of Switzerland?,No,H
846,/chinese_dynasties/Shang_dynasty.txt,What was the final capital of the Shang Dynasty?,Yin,H
2056,/languages/Indonesian_language.txt,How many inhabitants does Indonesia have?,275 million ,E
4588,/indian_states/Gujarat.txt,Which ruler of modern-day Junagadh built a dam on the Sudarshan lake?,Pushyagupta,H
1827,/indian_states/Madhya_Pradesh.txt,What is Madhya Pradesh?,a state in central India,E
3894,/languages/Indonesian_language.txt,What is the language with the most native speakers in Indonesia in 1945?,Javanese,H
6928,/indian_states/Rajasthan.txt,Are the Thar Desert and the Desert National Park located in the same state?,Yes,H
37,/chinese_dynasties/Shang_dynasty.txt,Does the Shang dynasty have another name?,yes,M
6892,/pokemon_characters/charizard_pokemon.txt,What are Charizard's moves in Super Smash Bros. Brawl?,"Rock Smash, Flamethrower, and Fly",H
2363,/pokemon_characters/jigglypuff_pokemon.txt,How does Jigglypuff sing for longer periods of time?,inflate themselves,M
2755,/chinese_dynasties/Zhou_dynasty.txt,What dynasty followed the Shang dynasty?,Zhou,E
4446,/constellations/capricornus_constellation.txt,How many modern constellations are there?,88,M
99,/chinese_dynasties/Northern_Wei.txt,What did Cui Hao contribute to Sinicization?,He helped instate Han Chinese institutions and advisors,H
1295,/constellations/sagittarius_constellation.txt,Who identified Sagittarius as the god Nergal?,the Babylonians,E
3413,/languages/English_language.txt,How many circles in Braj Kachru's model to distinguish countries?,3,H
113,/languages/Spanish_language.txt,Is Spanish the world's most spoken native language?,No,M
5970,/languages/German_language.txt,What is the area in central Europe where the majority of the population speaks German as a first language and has German as a (co-)official language called?,"the ""German Sprachraum""",M
6806,/indian_states/Gujarat.txt,How long is the coastline of Gujarat?,"1,600 km",E
4419,/languages/Urdu_language.txt,When was Urdu chosen as an official language of Pakistan?,1947,E
5166,/languages/Mandarin_language.txt,Does Chinese rely on affixes to provide grammatical information?,No,M
3266,/indian_states/Tamil_Nadu.txt,Did Tamil Nadu go through numerous regimes?,yes,M
823,/indian_states/Tamil_Nadu.txt,Who built the Shore Temple?,Narasimhavarman II,E
6516,/languages/Mandarin_language.txt,How many tones do most Mandarin varieties have?,four,E
1125,/languages/Bengali_language.txt,What causes the Bengali language movement?,The government of Pakistan has tried to impose Urdu as the sole state language in Pakistan.,M
1954,/languages/Urdu_language.txt,By the 16th century	 Deccani became the court language of what sultanates? ,Deccan,M
6364,/constellations/pisces_constellation.txt,Is NGC 520 is a pair of colliding galaxies located 90 million lightyears away?,Yes,E
2464,/languages/Spanish_language.txt,What is the origin of the Spanish language?,Vulgar latin,M
360,/chinese_dynasties/Jin_dynasty_(266–420).txt,Who founded the Jin dynasty?,Sima Yan,E
548,/languages/Urdu_language.txt,"What language does Daily Jang, Nawa-i-Waqt, and Millat use to publish in Pakistan?",Urdu,M
1736,/pokemon_characters/mewtwo_pokemon.txt,Can you Mewtwo speak?,Yes,M
5770,/pokemon_characters/pikachu_pokemon.txt,How many starters are there in the Pok√©mon Mystery Dungeon series? ,sixteen,H
5393,/indian_states/Andhra_Pradesh.txt,Is Andhra Pradesh bordered by Telangana to the north-west?,Yes,H
4308,/languages/Mandarin_language.txt,What is the official language of Taiwan?,Standard Mandarin,E
4986,/pokemon_characters/squirtle_pokemon.txt,Do players always need to avoid fatiguing when Squirtle is linked with Ivysaur and Charizard?,No.,H
5639,/constellations/virgo_constellation.txt,Does the black hole at the center of the M87 galaxy have a mass 7.2 billion times that of the Sun?,Yes.,H
4506,/pokemon_characters/magikarp_pokemon.txt,Is Magikarp a strong swimmer?,No,E
6693,/indian_states/Kerala.txt,Which one of the six Classical languages of India is the official language of Kerala?,Malayalam,H
1434,/indian_states/Gujarat.txt,Does Gujarat contain the longest coastline in India?,yes,M
1806,/languages/English_language.txt,Since when has English been spoken in Oceania?,1788,E
807,/constellations/libra_constellation.txt,Is Libra the largest constellation?,No,E
318,/constellations/virgo_constellation.txt,When did the constellation Virgo became associated with fertility?,c. 10th century BC,H
6050,/indian_states/Maharashtra.txt,"In 1518, was Maharastra split into 10 Deccan Sultanates",No,M
4978,/languages/Bengali_language.txt,Where was the University of Dhaka?,The former East Bengal.,H
6974,/indian_states/Rajasthan.txt,Is Folk music a large part of the Rajasthani culture?,Yes,E
4833,/pokemon_characters/psyduck_pokemon.txt,What animal is Psyduck known as?,duck,M
1621,/languages/Arabic_language.txt,Around the end of which century did the standardization of Arabic reach completion?,8th,E
954,/pokemon_characters/eevee_pokemon.txt,Who was the owner of Eevee in Detective Pikachu?,Howard Clifford,M
1569,/pokemon_characters/eevee_pokemon.txt,What makes Chloe Cerise's Eevee special in the Pokémon anime?,It is incapable of evolving.,M
7046,/constellations/scorpius_constellation.txt,Who is Phaethon's father?,Helios,M
4653,/constellations/capricornus_constellation.txt,Does HCG 87 contain only two galaxies?,No,M
2350,/pokemon_characters/pikachu_pokemon.txt,Can Pikachu transform into a Rai?,No,M
2585,/constellations/cancer_constellation.txt,Is the constellation whose name is crab in Latin a medium-size constellation?,Yes,H
3036,/languages/Portuguese_language.txt,Was Gerald of Braga a monk or a bishop first?,Monk,M
619,/languages/Indonesian_language.txt,Which colonial language rapidly disappeared from Indonesia? ,Dutch,H
4007,/languages/Urdu_language.txt,What name did the English liked to use for Urdu?,Moors,E
5066,/constellations/gemini_constellation.txt,What stars in Gemini have an extrasolar planet revolving around it?,"Pollux, HD 50554, and HD 59686.",H
4886,/chinese_dynasties/Shang_dynasty.txt,Did Jiandi birth miraculously to Xie?,Yes,M
2162,/chinese_dynasties/Han_dynasty.txt,Who was succeeded by the Han dynasty?,The Three Kingdoms,H
427,/indian_states/Maharashtra.txt,Is Maharashtra the largest economy in India?,Yes,E
6875,/indian_states/Maharashtra.txt,How many international airports are there in Maharashtra?,3,H
1898,/languages/Arabic_language.txt,Why has the influence of Arabic has been most important in Islamic countries?,"it is the language of the Islamic sacred book, the Quran",M
5596,/languages/Urdu_language.txt,Is Urdu the most commonly spoken language in the world?,No,M
4046,/indian_states/Rajasthan.txt,Are there many eagles in the Desert National Park?,Yes,H
5034,/chinese_dynasties/Xin_dynasty.txt,Who intended to intervene in China around 10/11 AD?,The nomadic Xiongnu.,M
4374,/chinese_dynasties/Shang_dynasty.txt,The Shang dynasty is also known as what?,The Yin dynasty,E
209,/chinese_dynasties/Liang_dynasty.txt,Who established Han dynasty?,Hou,E
4916,/pokemon_characters/squirtle_pokemon.txt,Who designed Squirtle?,Atsuko Nishida,E
5172,/chinese_dynasties/Sui_dynasty.txt,What was the fastest route to go from Daxing to the economic center of the Sui?,The Grand Canal,H
1855,/indian_states/Maharashtra.txt,Is 60% of the cultivatable land in Maharashtra used for grain crops?,Yes,M
827,/languages/Mandarin_language.txt,How many speakers does Lower Yantze Mandarin have?,86 Million,E
5500,/chinese_dynasties/Han_dynasty.txt,Who established the Han dynasty?,Liu Bang,E
3574,/indian_states/Andhra_Pradesh.txt,Is Visakhapatnam the largest city in Andhra Pradesh?,Yes,M
4683,/constellations/sagittarius_constellation.txt,Is the brightest visible region of the Milky Way have several embedded clusters?,Yes,H
6233,/languages/English_language.txt,Do prepositional phrases contain nouns?,Yes,M
6385,/chinese_dynasties/Chen_dynasty.txt,From what dynasty did ancestors of the Ho dynasty of Vietnam claim descent from?,Chen,E
5379,/constellations/pisces_constellation.txt,Did the wife of Antenteh beg him to ask the fish a beautifully furnished home?,Yes,H
1534,/chinese_dynasties/Northern_Wei.txt,Did Gao Huan make Yuan Yue emperor?,No.,M
21,/languages/Spanish_language.txt,How many countries is Spanish the official or national language?,18,E
6543,/indian_states/Punjab.txt,Which war marked the end of the Sikh empire in Punjab?,the Second Anglo-Sikh War,M
3333,/chinese_dynasties/Sui_dynasty.txt,What kingdom did the Sui Dynasty unsuccessfully invade four times?,Goguryeo,H
6447,/pokemon_characters/snorlax_pokemon.txt,Does Snorlax’s name relate to his appearance? ,Yes.,H
1543,/indian_states/Maharashtra.txt,Are English language newspapers distributed in rural areas in Maharashtra?,No.,M
3531,/pokemon_characters/mewtwo_pokemon.txt,Who voiced Mewtwo in the Japanese version of the Sound Picture Box?,Fujiko Takimoto,E
4106,/indian_states/Meghalaya.txt,Are bananas an important crop for Meghalaya's economy?,Yes,E
6376,/constellations/pisces_constellation.txt,Were the stars of Pisces incorporated into the Chinese constellation Wai-ping?,Yes,H
683,/chinese_dynasties/Sui_dynasty.txt,Did the first reign of the Sui dynasty promote Southern Shangqing school of Taoism?,No,M
309,/pokemon_characters/bulbasaur_pokemon.txt,Is Bulbasaur Ash's most faithful Pokémon from the beginning?,No,H
6010,/indian_states/West_Bengal.txt,Is Kolkata the largest city in India?,No,M
2242,/pokemon_characters/pikachu_pokemon.txt,Was a Pikachu balloon featured in the Macy's Thanksgiving Parade in 1999? ,No,M
4215,/chinese_dynasties/Han_dynasty.txt,The Han dynasty is known for the many conflicts it had with whom?,the Xiongnu,E
3454,/languages/French_language.txt,"Before the 17th century, what is the most important language of diplomacy in French?",Latin,H
6299,/chinese_dynasties/Tang_dynasty.txt,People of which profession invented porcelain?,Chemist,H
1882,/languages/Portuguese_language.txt,How many dialects of Portuguese are there in Portugal?,10,H
6340,/indian_states/Tamil_Nadu.txt,Does Tamil Nadu lie in the southernmost part of the Indian peninsula?,Yes,E
540,/indian_states/Punjab.txt,How long did the Indus Valley Civilization flourish at ancient period?,"1,000 years",M
2506,/chinese_dynasties/Northern_Wei.txt,Did Tongwancheng fell in 427?,Yes,E
3905,/constellations/sagittarius_constellation.txt,How many well-known star clouds does Sagittarius contain? ,Two,E
1942,/pokemon_characters/venusaur_pokemon.txt,What series artist noted that Venusaur was his least favourite Pokémon to draw due to its complex design? ,Ken Sugimori,M
5564,/indian_states/Uttar_Pradesh.txt,What dominated the state's economy?,The services industry,E
5392,/pokemon_characters/psyduck_pokemon.txt,Was an undead Psyduck brought to life by a Koga Gastly get destroyed by Red's Bulbasaur?,Yes,H
1384,/constellations/cancer_constellation.txt,Who killed Cancer in Greek mythology?,Hercules,H
1018,/indian_states/Gujarat.txt,What is the capital city of Gujarat?,Gandhinagar,E
5630,/constellations/virgo_constellation.txt,How many verified exoplanets orbit the 29 stars in Virgo?,35,E
