question,answer
In which evolution of Bulbasaur does the bulb on its back blossoms into a large flower?,Venusaur
When did Prithviraj Chauhan defeat the invading Muhammad Ghori in the First Battle of Tarain?,1191
What is a Portuguese-speaking person or nation referred to as? ,Lusophone
When is there a tradition that marks the Pleiades as the vernal equinox?,At the beginning of the Middle Bronze Age.
How many exoplanet systems have been found in Aquarius as for 2013?,12
Which of the two official languages of Andhra Pradesh is a Classical Language?,Telegu
Has Magikarp featured in its own mini-game?,Yes
Is Gem (Mekbuda) a double star?,Yes
Is Snorlax a legendary?,No.
Who voices Squirtle in the anime?,Rikako Aikawa
Was the landowner’s land tax paid in coin cash ,No
Which is a distinctive feature of southwestern Mandarin that is hardly used in Beijing?,noun reduplication
What percent of Bangladeshis use Bengali as their first language?,98
Is Libra part of Scorpio in current times?,No
How many older brothers did Mikey have in the episode 'The Battling Eevee Brothers'?,three
What languages loan words to Indonesian?,"Portuguese, Dutch, English, Arabic, Javanese, Sanskrit, Persian and Herbew."
What principles did early classifications tend to follow?,Provincial boundaries or major geographical features
How many information technology (IT) firms were operating in Karnataka in 2008?,2000
Who restored Confucian education and the Confucian examination system for bureaucrats in the Sui dynasty?,Emperor Yang of Sui
Is invasion one of the reasons why English shows similarities with languages outside its linguistic clades?,Yes
Do British English and American English draw influence from each other?,Yes
How was Bengali known in the 21st century?,Bangla-bhasa
Who is Deucalion in Greek mythology?,The son of Prometheus.
What year was the Yanshi Shang City discovered?,1983
Does French spelling tend to preserve obsolete pronunciation rules due to extreme phonetic changes since the Old French period?,Yes
Which dynasty is the first dynasty in traditional Chinese historiography?,The Xia dynasty
Is Kolkata the seventh largest city by population in India ?,yes
Who was the founder of the Sui dynasty?,Emperor Wen of Sui
Is Kolkata the largest metropolis in India?,No
Does Meghalaya have five representatives in the Lok Sabha?,No
Did the Xiongnu border the southern edge of Han territory?,No
Where did Psyduck make its debut appearance in the Pokémon series?,Pokémon Red and Blue
Is Pokémon: Magikarp Jump a mobile video game?,Yes
Which pakistan provinces do Rajasthan share a border with?,Punjab and Sindh 
What is the evidence that there were ties between the distant areas of North China?,The discovery of a Chenddu style ge dagger aze at Xiaohenan
Is Indonesian word order closer to European languages or Asian languages?,European languages.
In which year did Sima Yan declared himself emperor of the Jin dynasty?,266
Does Shanghainese have more polysyllabic words than Mandarin?,Yes
What were the illustriations of Eevee inspired by?,Fujiwara and Nashida's sprites
What is the brightest star in the Virgo constellation?,Spica.
Does all of Rajasthan lie northwest of the Aravallis?,No
Is the carbon star CW Leo (IRC +10216) is the brightest star in the night sky at the infrared N-band (10 μm wavelength)?,Yes
Is Gujarat one of four Indian states to prohibit the sale of alcohol?,Yes.
Who was Magikarp created by?,Ken Sugimori
What does Pikachurin do?,Provide better visual acuity
"Is there another starter in Red, Blue, and Green that has a dual typing?",No
Do Chinese overseas communities tend to use traditional Chinese characters more?,Yes
Who helped to begin the Silk Road trade network?,The diplomat Zhang Qian.
Did the Han dynasty establish granaries?,Yes
Who was the twenty-first Shang king?,Wu Ding
Is every evolution of Charizard ground-bound?,no
What is the state capital of Andhra Pradesh?,Amaravati
Did only nationalistic concerns lead to the successful adoption of Indonesian as a national language? ,No
What were Chinese dynasties typically named after?,The fief of their founders.
Is Leo one of the constellations of the zodiac?,Yes
What are the five famous rivers of Panjab?,"Jhelum, Chenab, Ravi, Sutlej, and Beas"
How many stars are a part of Aquarius’ jar?,Four.
How many states have Arabic as an official language?,26
What were Pokémon Red and Blue known as in Japan?,Pocket Monsters games Red and Green
Where did modern Spanish come from?,"neighboring Romance languages, Arabic, and Latin"
Is the Jin dynasty well known for the quality of its greenish celadon porcelain wares?,Yes
Were Roman cities built far from previous Celtic settlements?,No
Is the formal education conducted by Sundane?,No
Is French an official language of the Pacific Island nation of Vanuatu?,Yes
Is gold one of the major elements found in the orbit of the two galaxies found within Leo?,No
"In 2011, Bloomberg Businessweek ranked French the sedoncd most useful language for business",No
"According to the traditional chronology based on calculations made approximately 2,000 years ago by Liu Xin, what time period did the Shang dynasty rule from?",1766 to 1122 BC
In what direction does Virgo border Libra?,Northwest
Is the original of the name Bengal well known?,No
What is the official language of the People's Republic of China and Taiwan,Standard Mandarin Chinese
What state has been at the forefront of LGBT issues in India and one of the first states in India to form a welfare policy for the transgender community?,Kerala
What government system was based on in Wang Mang's reforms?,The ancient Western Zhou's.
In which months is Gemini visible the entire night?,December–January.
What is Libra’s name latin for? ,Weighing scales
In the modern period how many forms of written Bengali were there?,Two
What was the purpose of the state-run schools established by the Tang government?,to promote widespread Confucian education
Does Psyduck live in freshwater lakes?,Yes
What is the color of the long barbels on female Magikarp?,white
What is the the largest zodiac constellation?,Virgo
 What branch of Romance Languages does Portuguese belong tp? ,West Iberian 
Who overthrew the Hindu Shahis?,the Turkic Ghaznavids
Was Eastern West Khasi Hills created in 2001?,No
How many genders in the German language?,Three
Does Red have a Bulbasaur?,Yes
What color are the barbels on female Magikarp?,white
What does the ziladar do?,Governs each district (zila)
What will not dawn until the year 2597?,the Age of Aquarius
Is English one of the official languages of Switzerland?,No
What was the final capital of the Shang Dynasty?,Yin
How many inhabitants does Indonesia have?,275 million
Which ruler of modern-day Junagadh built a dam on the Sudarshan lake?,Pushyagupta
What is Madhya Pradesh?,a state in central India
What is the language with the most native speakers in Indonesia in 1945?,Javanese
Are the Thar Desert and the Desert National Park located in the same state?,Yes
Does the Shang dynasty have another name?,yes
What are Charizard's moves in Super Smash Bros. Brawl?,"Rock Smash, Flamethrower, and Fly"
How does Jigglypuff sing for longer periods of time?,inflate themselves
What dynasty followed the Shang dynasty?,Zhou
How many modern constellations are there?,88
What did Cui Hao contribute to Sinicization?,He helped instate Han Chinese institutions and advisors
Who identified Sagittarius as the god Nergal?,the Babylonians
How many circles in Braj Kachru's model to distinguish countries?,3
Is Spanish the world's most spoken native language?,No
What is the area in central Europe where the majority of the population speaks German as a first language and has German as a (co-)official language called?,"the ""German Sprachraum"""
How long is the coastline of Gujarat?,"1,600 km"
When was Urdu chosen as an official language of Pakistan?,1947
Does Chinese rely on affixes to provide grammatical information?,No
Did Tamil Nadu go through numerous regimes?,yes
Who built the Shore Temple?,Narasimhavarman II
How many tones do most Mandarin varieties have?,four
What causes the Bengali language movement?,The government of Pakistan has tried to impose Urdu as the sole state language in Pakistan.
By the 16th century	 Deccani became the court language of what sultanates?,Deccan
Is NGC 520 is a pair of colliding galaxies located 90 million lightyears away?,Yes
What is the origin of the Spanish language?,Vulgar latin
Who founded the Jin dynasty?,Sima Yan
"What language does Daily Jang, Nawa-i-Waqt, and Millat use to publish in Pakistan?",Urdu
Can you Mewtwo speak?,Yes
How many starters are there in the Pok√©mon Mystery Dungeon series? ,sixteen
Is Andhra Pradesh bordered by Telangana to the north-west?,Yes
What is the official language of Taiwan?,Standard Mandarin
Do players always need to avoid fatiguing when Squirtle is linked with Ivysaur and Charizard?,No.
Does the black hole at the center of the M87 galaxy have a mass 7.2 billion times that of the Sun?,Yes.
Is Magikarp a strong swimmer?,No
Which one of the six Classical languages of India is the official language of Kerala?,Malayalam
Does Gujarat contain the longest coastline in India?,yes
Since when has English been spoken in Oceania?,1788
Is Libra the largest constellation?,No
When did the constellation Virgo became associated with fertility?,c. 10th century BC
"In 1518, was Maharastra split into 10 Deccan Sultanates",No
Where was the University of Dhaka?,The former East Bengal.
Is Folk music a large part of the Rajasthani culture?,Yes
What animal is Psyduck known as?,duck
Around the end of which century did the standardization of Arabic reach completion?,8th
Who was the owner of Eevee in Detective Pikachu?,Howard Clifford
What makes Chloe Cerise's Eevee special in the Pokémon anime?,It is incapable of evolving.
Who is Phaethon's father?,Helios
Does HCG 87 contain only two galaxies?,No
Can Pikachu transform into a Rai?,No
Is the constellation whose name is crab in Latin a medium-size constellation?,Yes
Was Gerald of Braga a monk or a bishop first?,Monk
Which colonial language rapidly disappeared from Indonesia? ,Dutch
What name did the English liked to use for Urdu?,Moors
What stars in Gemini have an extrasolar planet revolving around it?,"Pollux, HD 50554, and HD 59686."
Did Jiandi birth miraculously to Xie?,Yes
Who was succeeded by the Han dynasty?,The Three Kingdoms
Is Maharashtra the largest economy in India?,Yes
How many international airports are there in Maharashtra?,3
Why has the influence of Arabic has been most important in Islamic countries?,"it is the language of the Islamic sacred book, the Quran"
Is Urdu the most commonly spoken language in the world?,No
Are there many eagles in the Desert National Park?,Yes
Who intended to intervene in China around 10/11 AD?,The nomadic Xiongnu.
The Shang dynasty is also known as what?,The Yin dynasty
Who established Han dynasty?,Hou
Who designed Squirtle?,Atsuko Nishida
What was the fastest route to go from Daxing to the economic center of the Sui?,The Grand Canal
Is 60% of the cultivatable land in Maharashtra used for grain crops?,Yes
How many speakers does Lower Yantze Mandarin have?,86 Million
Who established the Han dynasty?,Liu Bang
Is Visakhapatnam the largest city in Andhra Pradesh?,Yes
Is the brightest visible region of the Milky Way have several embedded clusters?,Yes
Do prepositional phrases contain nouns?,Yes
From what dynasty did ancestors of the Ho dynasty of Vietnam claim descent from?,Chen
Did the wife of Antenteh beg him to ask the fish a beautifully furnished home?,Yes
Did Gao Huan make Yuan Yue emperor?,No.
How many countries is Spanish the official or national language?,18
Which war marked the end of the Sikh empire in Punjab?,the Second Anglo-Sikh War
What kingdom did the Sui Dynasty unsuccessfully invade four times?,Goguryeo
Does Snorlax’s name relate to his appearance? ,Yes.
Are English language newspapers distributed in rural areas in Maharashtra?,No.
Who voiced Mewtwo in the Japanese version of the Sound Picture Box?,Fujiko Takimoto
Are bananas an important crop for Meghalaya's economy?,Yes
Were the stars of Pisces incorporated into the Chinese constellation Wai-ping?,Yes
Did the first reign of the Sui dynasty promote Southern Shangqing school of Taoism?,No
Is Bulbasaur Ash's most faithful Pokémon from the beginning?,No
Is Kolkata the largest city in India?,No
Was a Pikachu balloon featured in the Macy's Thanksgiving Parade in 1999?,No
The Han dynasty is known for the many conflicts it had with whom?,the Xiongnu
"Before the 17th century, what is the most important language of diplomacy in French?",Latin
People of which profession invented porcelain?,Chemist
How many dialects of Portuguese are there in Portugal?,10
Does Tamil Nadu lie in the southernmost part of the Indian peninsula?,Yes
How long did the Indus Valley Civilization flourish at ancient period?,"1,000 years"
Did Tongwancheng fell in 427?,Yes
How many well-known star clouds does Sagittarius contain? ,Two
What series artist noted that Venusaur was his least favourite Pokémon to draw due to its complex design? ,Ken Sugimori
What dominated the state's economy?,The services industry
Was an undead Psyduck brought to life by a Koga Gastly get destroyed by Red's Bulbasaur?,Yes
Who killed Cancer in Greek mythology?,Hercules
What is the capital city of Gujarat?,Gandhinagar
How many verified exoplanets orbit the 29 stars in Virgo?,35
What was did Mao Xi try to persuade Chen Shubao to do?,Stop feasting when he should be mourning
What was the first native name for Bengali in the 16th century?,Gauda-bhasa
How many population did Tang dynasty have at the dynasty's end?,80 million
Who presided over the Han government?,The emperor
What is Psyduck known as in Japan?,Koduck
Is Rajasthan bordered by 7 Indian states?,no
When does Venusaur attract the most Pokémon?,after rain
What constellation is to the west of Virgo?,Leo
"When was the magazine which innovated the use of ""bisa"" begun?",In 1933.
Is tourism a dead industry in Karnataka?,No.
What is the brightest star in Aquarius?,Beta Aquarii
Can Magikarp learn the move Flail in the first generation of Pokémon games?,No
Does the United States have a significant Russian-speaking community?,No
What is the largest industry in Maharashtra?,chemical and chemical products
How many stars are in the cluster discovered in the year 1745 by Swiss astronomer Philippe Loys de Chéseaux?,200
"According to the 2011 census, is the urban population of Maharashtra larger than the rural population?",No
Is the economy of Kerala the 10th largest in India?,No
Were the first speakers of English of early medieval England?,Yes
Is Libra also known as Claws of the Scorpion?,Yes
What did Southern and Northern Xiongnu disagree about?,Allyship with Han
Who can use strong psychic powers,Psyduck
Is television a main driver of Maharashtra's economy?,Yes
What balance does Libra's scales represent in the autumnal equinox?,The equal length of day and night
Was Anglia a peninsula on the Baltic Sea?,yes
Was the Chen dynasty founded by Chen Baxian?,Yes
How many possible evolutionary forms does Eevee have?,Eight
Where was Zhou's heartland,Wei River valley
"Did the ""equal-field landholding system"" and the ""three-elder system"" exist before 485 AD?",No
Where did Charmander first appear?,In the video games Pokémon Red and Blue.
On what medium was the earliest evidence of Chinese writing found?,"turtle shells, ox scapulae, or other bones"
How many stars of naked eye visibility does the constallation contain?,85
Bengali has developed over the course of how many years?,"1,300"
Does 29 percent of the South African population speak SAE as a first language?,No
"When was the item ""Heavy-Duty Boots"" released?",2019
Were mother of Emperor Yang of Sui and Li Yuan sisters?,yes
Did the Mughals came to power in 800 B.C.?,No
When was the medieval language that was the origin of Portuguese first recorded?,In the 9th century.
Which language is not recognized by the government of Bangladesh?,Urdu
Where will the Sun be at the December solstice in 2700 AD?,Scorpius
"Is ""Dehlayi"" another name for Urdu?",Yes
Which direction is Luoyang to Chang’an? ,East
On which date was the second-most populous state in India formed?,1 May 1960
Whose translation of the Lotus Sutra was the most important before the 5th century?,Dharmarakṣa's
What is the most recent Pokemon generation Eevee appears in?,Generation 8.
What is the most recent generation where Psyduck has appeared?,Generation 8.
Is Mysore the capital of Karnataka?,No
Was bronze relevant to the Shang dynasty?,Yes
Has Wei unified the North in 439?,Yes
Is Kannada the only language spoken in  Karnataka?,No
Has Psyduck appeared in more than one Pokemon game?,Yes.
What percent of the European Union's population spoke German as their mother tongue as of 2012?,16
During which dynasty did Confucian philosopher Wang Tong write and teach?,Sui
What are the four seasons of Karnataka?,"Winter, summer, monsoon season, and  post-monsoon season"
Is the percentage of women aged 15-49 that have never attended school larger than the percentage of men aged 15-49 that have never attended school?,Yes
Was Rajendra Chola able to capture lands beyond the borders of modern-day India? ,Yes 
How many Vedic Mahajanapadas were there? ,sixteen
How many Buddhist images from the time of the Wei dynasty have been found?,"30,000"
Which countries is Punjab part of?,Pakistan and India
Was the emperor the highest priest in the land during the Han dynasty?,Yes
Is Mandarin the official language of Japan?,No
When did the Tang dynasty rule?,618 to 907 AD
"As of the 2011 census, what percent of the Indian population didn't speak Urdu as their first language?",98.18
"How many total Pokemon make up Bulbasaur's evolutionary line, including Bulbasaur?",Three.
Which language belongs to the Western Hindi group of the Central Indo-Aryan languages?,Khariboli
What religion was introduced through trade with the Abbasid Caliphate?,Islam
"In which year Emperor Wen of Liu Song was assassinated by his son, Liu Shao? ",453 CE
On how many sides is Meghalaya surrounded by Bangladesh?,2
"Were the ""dragon bones"" found near Anyang and found by archaelogists of Academia Sinica between 1928 and 1937?",Yes
What did West Bengal undergo for many decades?,Political violence and economic stagnation
Is Karnataka's estimated poverty ratio higher than the national ratio in 2011-2012?,No
What pokemon was Charmander's design based off of?,Charizard
What is the largest bird in Meghalaya?,great Indian hornbill
"Where is ""Formal"" MSA learned?",School
What color eyes does Eevee have?,Brown
What is the capital of Madhya Pradesh?,Bhopal
"Who is a large, blueish creature with closed slit eyes and a closed mouth that features two upwardly protruding teeth?",Snorlax
Which Charizard toy made my Tomy was replaced with compensation or replacements?,Charizard Medium Plush
How did citizens view the Tang dynasty after natural disasters because of the Mandate of Heaven?,forced many to believe that the Tang had lost their right to rule
Is Kodagu the largest district in Karnataka?,No
Are there more people speaking English in 2016 than the late 18th century?,Yes
Who found the Liu Song dynasty,Liu Yu
Who asked Zeus to raise Orion in both versions of the myth?,Artemis
Is Cancer in the larger half of constellations?,Yes.
Is Hinduism practised by more 50% the population?,Yes
What was the name of Emperor Wen of Sui when he was the regent to the Northern Zhou court?,Yang Jian
What creature was the horse considered a relative of during the Tang dynasty?,dragon
What dialect was the first English poem written in?,Northumbrian
Is Praesepe one of the nearest open clusters to our Solar System?,Yes
Why does fluency in Russian remain fairly high in countries where the people speak a Slavic language?,Because they have an edge in learning Russian.
Is Charizard playable in any Smash Bros title?,Yes.
When was the rump state of Western Liang conquered?,587
What inflences the agriculture in Punjab greatly?,The climate
Does Indonesian have a singular language that it is derived from?,No
Which parts of The Han empire had to pay their labor tax?,"North, South, and west"
What is the capital of Maharashtra,Mumbai
Was the modern school system in West Bengal influenced by Ram Mohan Roy?,Yes
Does Meghalaya generate excess electricity? ,No
Did the support for Bengali culture and language was disappeared in the 15th Century?,No
"The Association of Spanish Language Academies which was created in Mexico, comprises the academies of how many countries?",23
Did Karnataka emerge as an independent political entity after the decline of decline of Satavahana power?,Yes
How many constellations did Ptolemy identify in the second century?,48
Did the Li family had any ethnic origins other than Han?,Yes
Which language is the second largest language spoken by 10.83% of the population in the state of Karnataka?,Urdu
"Portuguese has adopted a significant number of loanwords from which language, mainly in technical and scientific terminology?",Greek
Where is Scorpius located?,Southern celestial hemisphere 
Did Middle French emerge after Old French?,Yes
Has the use of English has stopped growing?,No
Psyduck is one of how many different pokemon in the first generation of games?,151
Who was the first person who translated The Quran into Urdu?,Shah Abdul Qadir Raipuri
How many people spoke English as their first language as of 2016?,400 million
Is Gujarat landlocked?,No
Who reestablished the Jin government at Jiankang?,Sima Rui
Who succeeded in stopping the flooding of the Yellow River?,Yu
Cancer is best known among stargazers as what?,The home of Praespe (Messier 44)
Who was the second wife of Emperor Ku?,A woman named Jiandi
What color is Charizard?,Orange
Does no specification of a national language in the constitution lead to harmony?,No
Who identified Scorpius in the second century?,Ptolemy
Did Eevee appear in Detective Pikachu?,Yes
What was Emperor Wen's temple name?,Shizu
What were Chinese pharmacists selling found by scholars in 1899?,dragon bones
Sagittarius contains the innermost galactic structure that can be observed in visible wavelengths,TRUE
Which is the only recognised regional language spoken in Portugal?,Mirandese
Which is the longest river in Madhya Pradesh?,The Narmada
The most prominent and powerful state of Rajasthan at the beginning of the 13th century is now home to what cities?,Udaipur and Chittaurgarh
Is Mandarin taught more often than Cantonese?,Yes
Which is the first dynasty in traditional Chinese historiography?,Xia dynasty
Is Psyduck a Water and Psychic type Pokemon?,No.
Is M74 is a loosely wound (type Sc) spiral galaxy in Pisces?,Yes
When was Kerala formed?,1 November 1956
Does National Highway 16 pass through Andhra Pradesh?,Yes
In what continent do the majority of Francophones live?,Africa
Which emperor came between Emperor Wen and Emperor Xuan of the Chen dynasty?,Emperor Fei
Which constellation lies between Libra to the west and Sagittarius to the east?,Scorpius
Was Sihikism accepted by the other religions?,yes
"Was ""Pichu"" always a predecessor of Pikachu?",No
What was one of Sima Rui's titles?,the prince of Langya
"Where did Snorlax rank in Complex's ""The 50 Best Pokemon Up to Pokemon Crystal""",8th
What is the Japanese name of Charmander,Hitokage
What is Maharashtra's largest airport?,Chhatrapati Shivaji International Airport
Is the Eastern Jin dynasty considered the last of the Six Dynasties?,No
Is Squirtle in the movie Detective Pikachu?,Yes
What does Charmander mean?,"a portmanteau of ""char"", meaning burnt, and ""salamander"
What is Junchi Masuda's favorite Pokemon?,Psyduck
Did women from the Tang dynasty have an influence on court politics?,Yes
Who presented himself as a Buddhist monarch who would use military force to defend the Buddhist faith?,Emperor Wen
Was Andhra State merged with Telugu speaking areas of Hyderabad in year 1963?,No
Is Spanish the only language spoken in Spain?,No
Where did the Emperor Taiwu of Northern Wei aim at during the attack to Hu Xia in 426?,Tongwancheng
What language did Reddy contended that it failed to appreciate as the national language in India.  ,Hindi
Where is Portuguese portuguesa located?,"East Timor, Equatorial Guinea, and Macau"
Is Epsilon Arietids a meteor shower?,Yes
Which languages are more widely spoken in the European Union than French?,English and German
How many people speak English as their first language?,400 million
When did Charizard make its video game debut?,1996
Who were raised to the sky to serve as a reminder for mortals to curb their excessive pride?,Orion and scorpion
"From the point of view of spoken language, is Chinese one of the closest relatives of Russian?",No
"In some old descriptions, which constellation is treated as the Scorpion's claws?",Libia
Where does most of Meghalaya's river's water come from?,Rain
Why did Emperor Ming execute thousands of members of the royal family?,fear of usurpation from rival members 
Who is traditionally taken to be the last Zhou king?,Nan
What caused Egypt to push for an Egyptianization of the Arabic language?,Colonialism
How many Mega Evolved forms does Charizard have?,2
Who discovered Messier 80?,Charles Messier
Does Meghalaya have a wealthy economy?,No.
What is the name of the cultural and literary renaissance of the 19th century?,Nahda
Did Psyduck made its appearance in battery-powerd toys?,Yes
What language did poets in Christian Hispania prefer to use for lyric poetry?,Galician-Portuguese
When did the Jin dynasty exist?,266 to 420.
Did the dynasty founded by Tang of Shang yield the earliest known body of Chinese writing?,Yes
Is it true that a majority of Indian Punjabis are Sunni Muslims?,No
When did West Bengal and East Bengal separate?,1947
In 541	 the people of which province rebelled under Lý Bôn?,Giao Châu Province
Does the player had Eevee as a starter when Eevee first evolves in Pokémon Yellow?,No
Who was saved by a Magikarp?,a Nurse Joy
How many rivers and mountain make up the boundary of the Punjab Province?,3
The earliest cities of Bengal date back to what period?,Vedic
Did Snorlax first appear in the Game Boy video game Pokémon Red and Blue?,Yes
In which year British built a settlement in present-day Chennai? ,1639
What other constellation depicts a wall protecting the Army of Yu-Lin in Aquarius?,Leibizhen
Who created Charizard?,Atsuko Nishida
Is Spanish the most spoken native language?,No
Did Psyduck appear in Pokémon Stadium?,Yes
What is the state capital of Uttar Pradesh?,Lucknow
When did Ptolemy identify Scorpius?,The second century.
What percentage of the Maharashtra population is urban-based,45 percent
What type of star is Iota Leonis?,binary star
Does the Meghalaya Legislative Assembly have 170 members at present?,No
Is Maharashtra the second largest state in India by area? ,No
Does German's consonant system have more consonants than other languages?,No
"After the Moorish invasion began in Spain, which language did the Christian population continued to speak?",Mozarabic
Why has criticism been directed towards Magikarp in the past?,for being useless or pointless
"Under Emperor Wen, was the Liu Song's unification of territory stronger than the economy",No
Did C.V. Raman discover the Raman Effect at the first research institute in Asia?,Yes
What is the meaning of Pisces in Latin?,Fishes
Was Chen Baxian a former high-ranked Liang general?,Yes
How many phonemes are in German?,22 to 26
"More than 80,000 bodies of Chinese writing have been found since 1930",TRUE
How many prominent stars does Aries has?,three
In which century were considerable amount of French vocabulary first incorporated into English?,11th
Does Taurus mean Bull in Latin?,Yes
How did Emperor Xiaozhuang start a civil war against the Erzhu clan in 530?,With the killing of Erzhu Rong in an ambush at the palace
When was Uttar Pradesh establish?,In 1950
Who was succeeded by Chen Xu (Emperor Xuan)? ,Chen Bozong (Emperor Fei)
What were the princely states and Jagirs of the Deccan States Agency merged into after Indian independence?,Bombay State
Who was the first to voice the original Mewtwo character in Japanese?,Masachika Ichimura
Is Madhya Pradesh the largest Indian state by area?,No
What is Urdu a form of? ,Hindustani 
The Sun takes the longest to pass through which Zodiac constellation?,Virgo
What is the Arabic term for the process of giving a new shade of meaning to an old classical word?,Tawleed
What do the Javanese people call Scorpius?,Banyakangrem
Is Nergal generally depicted with 3 heads?,no
Is Gujarat bounded by Europe to the southwest?,no
Who finalized the design for Psyduck?,Ken Sugimori.
When did India partition into India and Pakistan?,1947
Is the pre-evolution of Snorlax obtainable?,Yes
"Outside of Japan, what are the names of the Pocket Monsters games, Red and Green? ",Pokémon Red and Blue
"Was Zhou's using of  bronze ritual vessels, statues, ornaments, and weapons influenced by Shang material culture?",Yes
Is virgo the home to the optically brightest quasar in the sky?,Yes
"In Asia, what did setting up a free education system using Spanish do?","It increased the use of the language throughout the island, but only urban areas used it regularly"
What is the total length of surface road in the state having the largest road network in India?,"267,462 km"
The Bamboo Annals are similar to what account?,the Records of the Great Historian
Was Reiko Takashima the first to voice Mewtwo?,No
What is the first-most commonly taught foriegn languages in schools and universities in the United States?,Spanish
